"date","obs_gdp_t","obs_π_t","obs_π_e_t","obs_r_t","obs_π_o_t","obs_π_I_t","obs_gdp_t1","obs_gdp_t2","obs_r_t1","obs_r_t2","obs_π_t1","obs_π_t2","obs_π_t3","obs_π_t4","obs_π_t5","obs_π_t6","obs_π_t7","obs_π_t8","obs_π_o_t1","obs_π_e_t1"
"1967-06-30",3.73797985321831,0.6636644635533262,NaN,NaN,NaN,NaN,3.738606226977151,3.7309298948044667,NaN,NaN,0.5531070233584234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1967-09-30",3.747034821487969,0.8992910553234701,NaN,NaN,NaN,NaN,3.73797985321831,3.738606226977151,NaN,NaN,0.6636644635533262,0.5531070233584234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1967-12-31",3.756030079479433,0.9978908225558136,NaN,NaN,NaN,NaN,3.747034821487969,3.73797985321831,NaN,NaN,0.8992910553234701,0.6636644635533262,0.5531070233584234,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1968-03-31",3.7759087915725744,1.1222273103840497,NaN,NaN,NaN,NaN,3.756030079479433,3.747034821487969,NaN,NaN,0.9978908225558136,0.8992910553234701,0.6636644635533262,0.5531070233584234,NaN,NaN,NaN,NaN,NaN,NaN
"1968-06-30",3.7916681317428385,1.1523937054766176,NaN,NaN,NaN,NaN,3.7759087915725744,3.756030079479433,NaN,NaN,1.1222273103840497,0.9978908225558136,0.8992910553234701,0.6636644635533262,0.5531070233584234,NaN,NaN,NaN,NaN,NaN
"1968-09-30",3.7975005564101543,1.1111748587840697,NaN,NaN,NaN,NaN,3.7916681317428385,3.7759087915725744,NaN,NaN,1.1523937054766176,1.1222273103840497,0.9978908225558136,0.8992910553234701,0.6636644635533262,0.5531070233584234,NaN,NaN,NaN,NaN
"1968-12-31",3.8044281050724447,1.1591499104947722,NaN,NaN,NaN,NaN,3.7975005564101543,3.7916681317428385,NaN,NaN,1.1111748587840697,1.1523937054766176,1.1222273103840497,0.9978908225558136,0.8992910553234701,0.6636644635533262,0.5531070233584234,NaN,NaN,NaN
"1969-03-31",3.8191268280031023,1.104678452655783,NaN,NaN,NaN,NaN,3.8044281050724447,3.7975005564101543,NaN,NaN,1.1591499104947722,1.1111748587840697,1.1523937054766176,1.1222273103840497,0.9978908225558136,0.8992910553234701,0.6636644635533262,0.5531070233584234,NaN,NaN
"1969-06-30",3.8231060232028002,1.1966927021731522,NaN,NaN,NaN,NaN,3.8191268280031023,3.8044281050724447,NaN,NaN,1.104678452655783,1.1591499104947722,1.1111748587840697,1.1523937054766176,1.1222273103840497,0.9978908225558136,0.8992910553234701,0.6636644635533262,NaN,NaN
"1969-09-30",3.8317119974355114,1.1557183162913987,NaN,NaN,NaN,NaN,3.8231060232028002,3.8191268280031023,NaN,NaN,1.1966927021731522,1.104678452655783,1.1591499104947722,1.1111748587840697,1.1523937054766176,1.1222273103840497,0.9978908225558136,0.8992910553234701,NaN,NaN
"1969-12-31",3.828372382998368,1.1734511039449114,NaN,NaN,NaN,NaN,3.8317119974355114,3.8231060232028002,NaN,NaN,1.1557183162913987,1.1966927021731522,1.104678452655783,1.1591499104947722,1.1111748587840697,1.1523937054766176,1.1222273103840497,0.9978908225558136,NaN,NaN
"1970-03-31",3.829784907191174,1.0811866407623771,NaN,NaN,NaN,NaN,3.828372382998368,3.8317119974355114,NaN,NaN,1.1734511039449114,1.1557183162913987,1.1966927021731522,1.104678452655783,1.1591499104947722,1.1111748587840697,1.1523937054766176,1.1222273103840497,NaN,NaN
"1970-06-30",3.8341607586739923,1.1258296305893367,NaN,NaN,NaN,NaN,3.829784907191174,3.828372382998368,NaN,NaN,1.0811866407623771,1.1734511039449114,1.1557183162913987,1.1966927021731522,1.104678452655783,1.1591499104947722,1.1111748587840697,1.1523937054766176,NaN,NaN
"1970-09-30",3.840119048362972,1.1090209952667074,NaN,NaN,NaN,NaN,3.8341607586739923,3.829784907191174,NaN,NaN,1.1258296305893367,1.0811866407623771,1.1734511039449114,1.1557183162913987,1.1966927021731522,1.104678452655783,1.1591499104947722,1.1111748587840697,NaN,NaN
"1970-12-31",3.828947444233099,1.3923899445269505,NaN,NaN,NaN,NaN,3.840119048362972,3.8341607586739923,NaN,NaN,1.1090209952667074,1.1258296305893367,1.0811866407623771,1.1734511039449114,1.1557183162913987,1.1966927021731522,1.104678452655783,1.1591499104947722,NaN,NaN
"1971-03-31",3.8578817751842482,1.2609345375398817,NaN,NaN,NaN,NaN,3.828947444233099,3.840119048362972,NaN,NaN,1.3923899445269505,1.1090209952667074,1.1258296305893367,1.0811866407623771,1.1734511039449114,1.1557183162913987,1.1966927021731522,1.104678452655783,NaN,NaN
"1971-06-30",3.865346181162185,1.1341650611149223,NaN,NaN,NaN,NaN,3.8578817751842482,3.828947444233099,NaN,NaN,1.2609345375398817,1.3923899445269505,1.1090209952667074,1.1258296305893367,1.0811866407623771,1.1734511039449114,1.1557183162913987,1.1966927021731522,NaN,NaN
"1971-09-30",3.873790143095189,0.9422051596386538,NaN,NaN,NaN,NaN,3.865346181162185,3.8578817751842482,NaN,NaN,1.1341650611149223,1.2609345375398817,1.3923899445269505,1.1090209952667074,1.1258296305893367,1.0811866407623771,1.1734511039449114,1.1557183162913987,NaN,NaN
"1971-12-31",3.8793034523057,0.5691997803962234,NaN,NaN,NaN,NaN,3.873790143095189,3.865346181162185,NaN,NaN,0.9422051596386538,1.1341650611149223,1.2609345375398817,1.3923899445269505,1.1090209952667074,1.1258296305893367,1.0811866407623771,1.1734511039449114,NaN,NaN
"1972-03-31",3.902825683636231,0.9602655995510467,NaN,NaN,NaN,NaN,3.8793034523057,3.873790143095189,NaN,NaN,0.5691997803962234,0.9422051596386538,1.1341650611149223,1.2609345375398817,1.3923899445269505,1.1090209952667074,1.1258296305893367,1.0811866407623771,NaN,NaN
"1972-06-30",3.9250593465611763,0.6763136809790904,NaN,NaN,NaN,NaN,3.902825683636231,3.8793034523057,NaN,NaN,0.9602655995510467,0.5691997803962234,0.9422051596386538,1.1341650611149223,1.2609345375398817,1.3923899445269505,1.1090209952667074,1.1258296305893367,NaN,NaN
"1972-09-30",3.9360376132581014,0.7509720402685716,NaN,NaN,NaN,NaN,3.9250593465611763,3.902825683636231,NaN,NaN,0.6763136809790904,0.9602655995510467,0.5691997803962234,0.9422051596386538,1.1341650611149223,1.2609345375398817,1.3923899445269505,1.1090209952667074,NaN,NaN
"1972-12-31",3.9588612470097204,0.6274313738830806,NaN,NaN,NaN,NaN,3.9360376132581014,3.9250593465611763,NaN,NaN,0.7509720402685716,0.6763136809790904,0.9602655995510467,0.5691997803962234,0.9422051596386538,1.1341650611149223,1.2609345375398817,1.3923899445269505,NaN,NaN
"1973-03-31",3.987792607699549,0.6977684131943107,NaN,NaN,NaN,NaN,3.9588612470097204,3.9360376132581014,NaN,NaN,0.6274313738830806,0.7509720402685716,0.6763136809790904,0.9602655995510467,0.5691997803962234,0.9422051596386538,1.1341650611149223,1.2609345375398817,NaN,NaN
"1973-06-30",4.000587506626908,1.3579785001351041,NaN,NaN,NaN,NaN,3.987792607699549,3.9588612470097204,NaN,NaN,0.6977684131943107,0.6274313738830806,0.7509720402685716,0.6763136809790904,0.9602655995510467,0.5691997803962234,0.9422051596386538,1.1341650611149223,NaN,NaN
"1973-09-30",4.0007948905066275,1.3245733817399241,NaN,NaN,NaN,NaN,4.000587506626908,3.987792607699549,NaN,NaN,1.3579785001351041,0.6977684131943107,0.6274313738830806,0.7509720402685716,0.6763136809790904,0.9602655995510467,0.5691997803962234,0.9422051596386538,NaN,NaN
"1973-12-31",4.015987250252876,1.3823016383140097,NaN,NaN,NaN,NaN,4.0007948905066275,4.000587506626908,NaN,NaN,1.3245733817399241,1.3579785001351041,0.6977684131943107,0.6274313738830806,0.7509720402685716,0.6763136809790904,0.9602655995510467,0.5691997803962234,NaN,NaN
"1974-03-31",4.009446207555747,1.7032765811573203,NaN,NaN,NaN,NaN,4.015987250252876,4.0007948905066275,NaN,NaN,1.3823016383140097,1.3245733817399241,1.3579785001351041,0.6977684131943107,0.6274313738830806,0.7509720402685716,0.6763136809790904,0.9602655995510467,NaN,NaN
"1974-06-30",4.011016142026447,2.4513620262728075,NaN,NaN,NaN,NaN,4.009446207555747,4.015987250252876,NaN,NaN,1.7032765811573203,1.3823016383140097,1.3245733817399241,1.3579785001351041,0.6977684131943107,0.6274313738830806,0.7509720402685716,0.6763136809790904,NaN,NaN
"1974-09-30",4.001631166428497,2.8238839858983233,NaN,NaN,NaN,NaN,4.011016142026447,4.009446207555747,NaN,NaN,2.4513620262728075,1.7032765811573203,1.3823016383140097,1.3245733817399241,1.3579785001351041,0.6977684131943107,0.6274313738830806,0.7509720402685716,NaN,NaN
"1974-12-31",4.002488421051118,2.4156682200703106,NaN,NaN,NaN,NaN,4.001631166428497,4.011016142026447,NaN,NaN,2.8238839858983233,2.4513620262728075,1.7032765811573203,1.3823016383140097,1.3245733817399241,1.3579785001351041,0.6977684131943107,0.6274313738830806,NaN,NaN
"1975-03-31",3.993347715053534,1.9443037546036823,NaN,NaN,NaN,NaN,4.002488421051118,4.001631166428497,NaN,NaN,2.4156682200703106,2.8238839858983233,2.4513620262728075,1.7032765811573203,1.3823016383140097,1.3245733817399241,1.3579785001351041,0.6977684131943107,NaN,NaN
"1975-06-30",4.000627272971487,1.5187809595452961,NaN,NaN,NaN,NaN,3.993347715053534,4.002488421051118,NaN,NaN,1.9443037546036823,2.4156682200703106,2.8238839858983233,2.4513620262728075,1.7032765811573203,1.3823016383140097,1.3245733817399241,1.3579785001351041,NaN,NaN
"1975-09-30",4.019765734164501,1.4928093370591977,NaN,NaN,NaN,NaN,4.000627272971487,3.993347715053534,NaN,NaN,1.5187809595452961,1.9443037546036823,2.4156682200703106,2.8238839858983233,2.4513620262728075,1.7032765811573203,1.3823016383140097,1.3245733817399241,NaN,NaN
"1975-12-31",4.033564724156811,1.6148358191750312,NaN,NaN,NaN,NaN,4.019765734164501,4.000627272971487,NaN,NaN,1.4928093370591977,1.5187809595452961,1.9443037546036823,2.4156682200703106,2.8238839858983233,2.4513620262728075,1.7032765811573203,1.3823016383140097,NaN,NaN
"1976-03-31",4.051105540395739,1.5104685218496616,NaN,NaN,NaN,NaN,4.033564724156811,4.019765734164501,NaN,NaN,1.6148358191750312,1.4928093370591977,1.5187809595452961,1.9443037546036823,2.4156682200703106,2.8238839858983233,2.4513620262728075,1.7032765811573203,NaN,NaN
"1976-06-30",4.056811291294984,1.189670283080213,NaN,NaN,NaN,NaN,4.051105540395739,4.033564724156811,NaN,NaN,1.5104685218496616,1.6148358191750312,1.4928093370591977,1.5187809595452961,1.9443037546036823,2.4156682200703106,2.8238839858983233,2.4513620262728075,NaN,NaN
"1976-09-30",4.059241933662109,1.5502271357312303,NaN,NaN,NaN,NaN,4.056811291294984,4.051105540395739,NaN,NaN,1.189670283080213,1.5104685218496616,1.6148358191750312,1.4928093370591977,1.5187809595452961,1.9443037546036823,2.4156682200703106,2.8238839858983233,NaN,NaN
"1976-12-31",4.068786636555782,1.5476843277656194,NaN,NaN,NaN,NaN,4.059241933662109,4.056811291294984,NaN,NaN,1.5502271357312303,1.189670283080213,1.5104685218496616,1.6148358191750312,1.4928093370591977,1.5187809595452961,1.9443037546036823,2.4156682200703106,NaN,NaN
